order_id,user_id,session_id,order_ts,gross_amount,discount_amount,net_amount,payment_method,coupon_id,coupon_discount_pct,item_count,total_qty,shipping_pincode,shipping_city_tier,payment_fail_count_before_success,device_reuse_count,pincode_reuse_count,order_value_zscore_by_category,qty_outlier_flag,multi_coupon_user_flag,high_discount_flag,new_user_flag,cod_flag,refund_amount,refund_approved,rto_flag,risk_score,risk_band
o000000001,,s000000056,2025-08-03 03:58:38,7151.27,0.0,7151.27,upi,,0.0,3,5,566103.0,unknown,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,Low
o000000002,u001492,s000000065,2025-08-03 00:45:57,1045.38,0.0,1045.38,card,,0.0,2,5,575439.0,unknown,0,1,28.0,0,0,0,0,0,0,0.0,0,0,10.0,Low
o000000003,u000430,s000000086,2025-08-03 08:43:49,9170.26,0.0,9170.26,card,,0.0,4,8,575842.0,unknown,0,1,31.0,0,0,0,0,0,0,0.0,0,0,10.0,Low
o000000004,u002435,s000000137,2025-08-03 16:40:31,5184.57,0.0,5184.57,upi,,0.0,2,6,563967.0,unknown,0,1,77.0,0,0,1,0,0,0,0.0,0,0,20.0,Low
o000000005,u001798,s000000154,2025-08-03 00:52:44,9287.66,80.0,9207.66,card,shipfree,0.86,4,7,575614.0,unknown,1,1,20.0,0,0,1,0,0,0,0.0,0,0,20.0,Low
o000000006,u002291,s000000156,2025-08-03 04:20:01,229.0,0.0,317.98,card,,0.0,1,1,569539.0,unknown,1,1,76.0,0,0,0,0,0,0,0.0,0,0,10.0,Low
o000000007,u002385,s000000164,2025-08-03 10:47:34,8958.06,0.0,8958.06,cod,,0.0,4,9,569539.0,unknown,0,1,76.0,0,0,0,0,0,1,0.0,0,0,18.0,Low
o000000008,u002662,s000000171,2025-08-03 11:50:32,2728.59,0.0,2728.59,upi,,0.0,4,5,572769.0,unknown,0,1,31.0,0,0,0,0,1,0,0.0,0,0,18.0,Low
o000000009,u001389,s000000227,2025-08-03 04:49:11,4596.19,500.0,4096.19,card,flash40,10.88,2,4,578600.0,unknown,0,1,25.0,0,0,0,0,0,0,0.0,0,0,10.0,Low
o000000010,,s000000264,2025-08-03 17:11:41,12319.85,0.0,12319.85,card,,0.0,4,7,569589.0,unknown,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,Low
o000000011,u001170,s000000298,2025-08-03 20:07:51,4507.74,0.0,4507.74,card,,0.0,4,7,563967.0,unknown,0,1,77.0,0,0,0,0,0,0,0.0,0,0,10.0,Low
